"1k-blocks","filesystem","date","hour","mean_usage"
154696528,"/dev/sdb",2018-09-08 11:00:00,11,10
154696528,"/dev/sdb",2018-09-08 12:00:00,12,10
154696528,"/dev/sdb",2018-09-08 13:00:00,13,10
154696528,"/dev/sdb",2018-09-08 14:00:00,14,10
154696528,"/dev/sdb",2018-09-08 15:00:00,15,10
154696528,"/dev/sdb",2018-09-08 16:00:00,16,10
154696528,"/dev/sdb",2018-09-08 17:00:00,17,10.0002787844996
154696528,"/dev/sdb",2018-09-08 18:00:00,18,10.8641940881205
154696528,"/dev/sdb",2018-09-08 19:00:00,19,11
154696528,"/dev/sdb",2018-09-08 20:00:00,20,11
154696528,"/dev/sdb",2018-09-08 21:00:00,21,11
154696528,"/dev/sdb",2018-09-08 22:00:00,22,8.11238148354713
154696528,"/dev/sdb",2018-09-08 23:00:00,23,8
154696528,"/dev/sdb",2018-09-09 00:00:00,0,8.34903819347644
154696528,"/dev/sdb",2018-09-09 01:00:00,1,9
154696528,"/dev/sdb",2018-09-09 02:00:00,2,9
154696528,"/dev/sdb",2018-09-09 03:00:00,3,9
154696528,"/dev/sdb",2018-09-09 04:00:00,4,9
154696528,"/dev/sdb",2018-09-09 05:00:00,5,9
154696528,"/dev/sdb",2018-09-09 06:00:00,6,9
154696528,"/dev/sdb",2018-09-09 07:00:00,7,9
154696528,"/dev/sdb",2018-09-09 08:00:00,8,9
154696528,"/dev/sdb",2018-09-09 09:00:00,9,9.74567763524819
154696528,"/dev/sdb",2018-09-09 10:00:00,10,10
154696528,"/dev/sdb",2018-09-09 11:00:00,11,10
154696528,"/dev/sdb",2018-09-09 12:00:00,12,10
154696528,"/dev/sdb",2018-09-09 13:00:00,13,10
154696528,"/dev/sdb",2018-09-09 14:00:00,14,10
154696528,"/dev/sdb",2018-09-09 15:00:00,15,10
154696528,"/dev/sdb",2018-09-09 16:00:00,16,10.0013943112103
154696528,"/dev/sdb",2018-09-09 17:00:00,17,10.7752996933371
154696528,"/dev/sdb",2018-09-09 18:00:00,18,11
154696528,"/dev/sdb",2018-09-09 19:00:00,19,11
154696528,"/dev/sdb",2018-09-09 20:00:00,20,11
154696528,"/dev/sdb",2018-09-09 21:00:00,21,11
154696528,"/dev/sdb",2018-09-09 22:00:00,22,8.11736827432395
154696528,"/dev/sdb",2018-09-09 23:00:00,23,8
154696528,"/dev/sdb",2018-09-10 00:00:00,0,8
154696528,"/dev/sdb",2018-09-10 01:00:00,1,8
154696528,"/dev/sdb",2018-09-10 02:00:00,2,8
154696528,"/dev/sdb",2018-09-10 03:00:00,3,8
154696528,"/dev/sdb",2018-09-10 04:00:00,4,8.35722253206916
154696528,"/dev/sdb",2018-09-10 05:00:00,5,9
154696528,"/dev/sdb",2018-09-10 06:00:00,6,9
154696528,"/dev/sdb",2018-09-10 07:00:00,7,9
154696528,"/dev/sdb",2018-09-10 08:00:00,8,9
154696528,"/dev/sdb",2018-09-10 09:00:00,9,9
154696528,"/dev/sdb",2018-09-10 10:00:00,10,9
154696528,"/dev/sdb",2018-09-10 11:00:00,11,9
154696528,"/dev/sdb",2018-09-10 12:00:00,12,9
154696528,"/dev/sdb",2018-09-10 13:00:00,13,9
154696528,"/dev/sdb",2018-09-10 14:00:00,14,9
154696528,"/dev/sdb",2018-09-10 15:00:00,15,9
154696528,"/dev/sdb",2018-09-10 16:00:00,16,9
154696528,"/dev/sdb",2018-09-10 17:00:00,17,9
154696528,"/dev/sdb",2018-09-10 18:00:00,18,9.40451630889322
154696528,"/dev/sdb",2018-09-10 19:00:00,19,10
154696528,"/dev/sdb",2018-09-10 20:00:00,20,10
154696528,"/dev/sdb",2018-09-10 21:00:00,21,10
154696528,"/dev/sdb",2018-09-10 22:00:00,22,8.11098717233687
154696528,"/dev/sdb",2018-09-10 23:00:00,23,8
154696528,"/dev/sdb",2018-09-11 00:00:00,0,8.55896292166156
154696528,"/dev/sdb",2018-09-11 01:00:00,1,9
154696528,"/dev/sdb",2018-09-11 02:00:00,2,9
154696528,"/dev/sdb",2018-09-11 03:00:00,3,9
154696528,"/dev/sdb",2018-09-11 04:00:00,4,9
154696528,"/dev/sdb",2018-09-11 05:00:00,5,9
154696528,"/dev/sdb",2018-09-11 06:00:00,6,9
